stop_id,stop_name,stop_lat,stop_lon
4138,Costasavina, 46.058100, 11.213970
4139,Fornaci Di Roncogno, 46.064060, 11.224100
4140,Frassilongo, 46.089490, 11.297420
4141,S.Francesco, 46.100350, 11.310520
4142,S.Felice Fierozzo, 46.111140, 11.318510
4143,Hacleri, 46.124440, 11.339720
4150,Loc. Buss, 46.088290, 11.225950
4200,S.Cristoforo/Canale, 46.038760, 11.233490
4210,Ischia Di Pergine, 46.033150, 11.247710
4211,Albere' Di Tenna, 46.029520, 11.255640
4212,Tenna, 46.012760, 11.266680
4250,Valcanover/S.Caterina, 46.026700, 11.229240
4260,Calceranica Al Lago, 46.004080, 11.243380
4270,Caldonazzo, 45.993360, 11.260620
4280,Masetti, 46.052640, 11.249250
4281,Fontanabotte, 46.056680, 11.247950
4282,Zava, 46.042100, 11.251000
4290,Visintainer, 46.033370, 11.262680
4292,Brenta Bivio, 46.004780, 11.274520
4300,Levico Terme, 46.010150, 11.298840
4310,Barco, 46.004570, 11.335600
4320,S.Giuliana, 45.991560, 11.315110
4321,Quaere, 45.991100, 11.303000
4322,Lochere, 45.989020, 11.300990
4330,Compet, 46.039340, 11.299890
4331,Vetriolo/Compet, 46.041890, 11.317070
4332,Baiti Di Vetriolo, 46.029540, 11.333580
4350,Campiello, 46.019560, 11.356660
4360,Novaledo, 46.022200, 11.366060
4361,Campregher Di Novaledo, 46.029330, 11.382780
4370,Roncegno Fs/Marter, 46.034090, 11.394300
4380,Roncegno, 46.049660, 11.411160
4382,Gionzeri, 46.057230, 11.409680
4400,Borgo Valsugana, 46.052030, 11.463320
4405,Carzano, 46.069830, 11.493610
4410,Olle, 46.040800, 11.464150
4420,Rincheri/Roneri/Scali, 46.056590, 11.416630
4422,Maso Roneri, 46.059230, 11.420810
4423,Maso Scali, 46.059180, 11.415590
4424,Maso Sasso, 46.063360, 11.426850
4425,M.Lagon/Montib./Rozza/Fraineri, 46.061310, 11.415300
4426,Maso Montibelleri, 46.064470, 11.408680
4427,Maso Rozza, 46.063880, 11.402740
