service_id,date
3FG,20130402
3F8,20130402
3GB,20130402
3G8,20130402
3HB,20130402
3HC,20130402
3HL,20130402
3HS,20130402
3H2,20130402
3H8,20130402
3M8,20130402
3RB,20130402
3RS,20130402
3RX,20130402
3R8,20130402
3U8,20130402
3V8,20130402
30B,20130402
30BB,20130402
30C,20130402
30CC,20130402
30E2,20130402
30F2,20130402
30G,20130402
30GG,20130402
30H,20130402
30I,20130402
30I6,20130402
30L,20130402
30LL,20130402
30M,20130402
30MM,20130402
30MMM,20130402
30P,20130402
30P6,20130402
30Q,20130402
30QQ,20130402
30R,20130402
30R6,20130402
30S,20130402
30SS,20130402
30S6,20130402
30V,20130402
30X,20130402
30Y,20130402
30Z,20130402
3012,20130402
30124,20130402
30125,20130402
30126,20130402
302,20130402
3022,20130402
3023,20130402
3024,20130402
30245,20130402
3025,20130402
30256,20130402
3026,20130402
30635,20130402
308,20130402
308BB,20130402
3081,20130402
3083,20130402
3085,20130402
3088,20130402
3088B,20130402
30888,20130402
309,20130402
309MD,20130402
309ML,20130402
309TN,20130402
3091,20130402
3093,20130402
30935,20130402
3094,20130402
3095,20130402
3099,20130402
30999,20130402
31B,20130402
31C,20130402
31S,20130402
312,20130402
31235,20130402
318,20130402
3905,20130402
UAGf5,20130403
UAGf6,20130403
UAGGG,20130403
UAGn6,20130403
UAGs4,20130403
UAGs5,20130403
UAGs6,20130403
URvac,20130403
URvds,20130403
URvf4,20130403
URvf5,20130403
URvf6,20130403
URvGG,20130403
URvn4,20130403
URvn5,20130403
URvn6,20130403
UTnac,20130403
UTna5,20130403
UTnds,20130403
UTnf4,20130403
UTnf5,20130403
UTnf6,20130403
UTnGG,20130403
UTnn4,20130403
UTnn5,20130403
UTnn6,20130403
UTnTR,20130403
UTnZ,20130403
3DA,20130403
3DC,20130403
3DD,20130403
3DF,20130403
3DG,20130403
3DH,20130403
3DI,20130403
3DK,20130403
3DP,20130403
3DR,20130403
3DT,20130403
3D3,20130403
3D34,20130403
3D345,20130403
3D8,20130403
3D88,20130403
3FC,20130403
3FER,20130403
3FER4,20130403
3FER5,20130403
3FER9,20130403
3FG,20130403
3F8,20130403
3GA,20130403
3G8,20130403
3HA,20130403
3HC,20130403
3HF,20130403
3HL,20130403
3H8,20130403
3M8,20130403
3RA,20130403
3RF,20130403
3R3,20130403
3R8,20130403
3U8,20130403
3V8,20130403
30A,20130403
30AA,20130403
30AAA,20130403
30A6,20130403
30C,20130403
30CC,20130403
30D,20130403
30DD,20130403
30D6,20130403
30F,20130403
30FF,20130403
30F2,20130403
30F6,20130403
30G,20130403
30GG,20130403
30H,20130403
30I,20130403
30I6,20130403
30K,20130403
30L,20130403
30LL,20130403
30MGV,20130403
30P,20130403
30P6,20130403
30R,20130403
30R6,20130403
30T,20130403
30U,20130403
30W,20130403
30Z,20130403
3013,20130403
30134,20130403
30136,20130403
3023,20130403
303,20130403
3033,20130403
3034,20130403
30345,20130403
3035,20130403
3036,20130403
308,20130403
308BB,20130403
3081,20130403
3082,20130403
3085,20130403
3088,20130403
3088B,20130403
30888,20130403
309,20130403
309MD,20130403
309ML,20130403
309TN,20130403
3091,20130403
3092,20130403
30924,20130403
3094,20130403
3095,20130403
3099,20130403
30999,20130403
31A,20130403
31C,20130403
31F,20130403
31T,20130403
31235,20130403
313,20130403
318,20130403
33456,20130403
3905,20130403
3924,20130403
UAGf5,20130404
UAGf6,20130404
UAGGG,20130404
UAGn6,20130404
UAGs4,20130404
UAGs5,20130404
UAGs6,20130404
URvac,20130404
URvds,20130404
URvf4,20130404
URvf5,20130404
URvf6,20130404
URvGG,20130404
URvsG,20130404
URvs3,20130404
URvs4,20130404
URvs5,20130404
URvs6,20130404
URvxL,20130404
UTnac,20130404
UTnds,20130404
UTnf4,20130404
UTnf5,20130404
UTnf6,20130404
UTnGG,20130404
UTnMG,20130404
UTnsG,20130404
UTns3,20130404
UTns4,20130404
UTns5,20130404
UTns6,20130404
UTnTR,20130404
UTnu5,20130404
UTnxL,20130404
UTnZ,20130404
2DB,20130404
2DBB,20130404
2DC,20130404
2DG,20130404
2DH,20130404
2DK,20130404
2DN,20130404
2DQ,20130404
2DS,20130404
2DT,20130404
2DX,20130404
2D145,20130404
2D34,20130404
2D345,20130404
2D4,20130404
2D45,20130404
2D8,20130404
2D88,20130404
2FC,20130404
2FER,20130404
2FER4,20130404
2FER5,20130404
2FER9,20130404
2FG,20130404
2F8,20130404
2GB,20130404
2G8,20130404
2HB,20130404
2HC,20130404
2HL,20130404
2HS,20130404
2H4,20130404
2H8,20130404
2M8,20130404
2RB,20130404
2RS,20130404
2RX,20130404
2R8,20130404
2U8,20130404
2V8,20130404
20B,20130404
20BB,20130404
20C,20130404
20CC,20130404
20G,20130404
20GG,20130404
20H,20130404
20K,20130404
20L,20130404
20LL,20130404
20M,20130404
20MGV,20130404
20MM,20130404
20MMM,20130404
20N,20130404
20N6,20130404
20Q,20130404
20QQ,20130404
20S,20130404
20SS,20130404
20S6,20130404
20T,20130404
20U,20130404
20X,20130404
20Y,20130404
20Z,20130404
20045,20130404
20124,20130404
20134,20130404
2014,20130404
20145,20130404
2024,20130404
20245,20130404
2034,20130404
20345,20130404
204,20130404
2044,20130404
2045,20130404
20456,20130404
2046,20130404
20635,20130404
208,20130404
208BB,20130404
2081,20130404
2082,20130404
2083,20130404
2085,20130404
2088,20130404
2088B,20130404
20888,20130404
209,20130404
209MD,20130404
209ML,20130404
209TN,20130404
2091,20130404
2092,20130404
