route_id,service_id,trip_id,trip_short_name,direction_id,departure_time,variante_id,variante_name,variante_short_name
177,UTnf5,21612_20130402_UTnf5_8121,T121v9,0,23.53.00,4978,linea 12 trasferimenti a,16901211
177,UTnf5,49632_20130402_UTnf5_8121,T12168,1,22.54.00,3646,romagnano/p.dante,151252
177,UTnf5,7690_20130402_UTnf5_8121,T12156,1,11.09.00,3640,romagnano/ravina/p.dante,151202
177,UTnf5,54926_20130402_UTnf5_8121,T12106,0,10.45.00,3639,piazza dante/romagnano,151201
175,UTnf5,59073_20130402_UTnf5_8104,T10465LV,1,18.10.00,3594,X - montevaccino/martigna,151012
175,UTnf5,59084_20130402_UTnf5_8104,T10461,1,15.05.00,18203,X - montevaccino/martigna,15106299
175,UTnf5,59062_20130402_UTnf5_8104,T10411,0,14.51.00,3593,X - martignano piazza/mon,151011
175,UTnf5,59070_20130402_UTnf5_8104,T10460,1,14.30.00,3594,X - montevaccino/martigna,151012
183,UTnf5,22890_20130402_UTnf5_8204,T05fv9,0,08.27.00,7738,linea 05 trasferimenti a,16900540
186,UTnf5,30734_20130402_UTnf5_8084,T0845101,1,05.00.00,22600,ravina/mattar/roncafort,15081497
186,UTnf5,23321_20130402_UTnf5_8083,T08361,1,21.30.00,5154,mattarello/clarina/ ronca,150822
186,UTnf5,30730_20130402_UTnf5_8083,T0830801,0,16.11.00,19156,centochiavi/mattarello ve,15085199
186,UTnf5,58971_20130402_UTnf5_8083,T08302,0,07.11.00,3903,centochiavi/mattarello,150801
184,UTnf6,17849_20130402_UTnf6_8063,T06310,0,19.24.00,22113,X - Grotta/Cadine/Sopramo,15061198
184,UTnf6,54773_20130402_UTnf6_8063,T06357,1,15.13.00,5086,X - Sopramonte/Villazz./G,150602
184,UTnf6,54771_20130402_UTnf6_8063,T06354,1,10.13.00,5086,X - Sopramonte/Villazz./G,150602
184,UTnf6,54759_20130402_UTnf6_8063,T06303,0,07.39.00,3811,X - Grotta/Villazz./Sopra,150601
184,UTnf6,17828_20130402_UTnf6_8063,T06352,1,06.48.00,22114,X - Sopramonte/Cadine/Gro,15061200
181,UTnf6,11590_20130402_UTnf6_8037,T03708,0,20.51.00,3713,cortesano/mad.bianca/vill,150311
186,UTnf6,21882_20130402_UTnf6_8081,T081v9,0,23.50.00,3929,linea 08 trasferimenti a,16900813
186,UTnf6,17637_20130402_UTnf6_8081,T08108,0,17.11.00,3903,centochiavi/mattarello,150801
186,UTnf6,63105_20130402_UTnf6_8081,T08157,1,16.27.00,5152,mattarello/centochiavi,150802
186,UTnf6,17640_20130402_UTnf6_8081,T08106,0,14.11.00,3903,centochiavi/mattarello,150801
185,UTnf6,58949_20130402_UTnf6_8075,T07508,0,16.50.00,3854,canova/melta/gocciadoro,150701
185,UTnf6,23237_20130402_UTnf6_8075,T07554,1,11.40.00,5126,gocciadoro/melta/canova,150702
188,UTnf6,58535_20130402_UTnf6_8303,T_A313,1,19.20.00,20868,clarina/fersina/trieste/r,15302102
188,UTnf6,58528_20130402_UTnf6_8303,T_A308,1,14.20.00,20867,clarina/fersina/trieste/p,15302101
188,UTnf6,58552_20130402_UTnf6_8303,T_A355,1,11.34.00,20869,clarina/fersina/trieste/p,15302601
188,UTnf6,58523_20130402_UTnf6_8303,T_A303,1,09.20.00,20867,clarina/fersina/trieste/p,15302101
188,UTnf6,58549_20130402_UTnf6_8303,T_A352,1,08.34.00,20869,clarina/fersina/trieste/p,15302601
180,UTnf6,19751_20130402_UTnf6_8173,T17314,0,19.55.00,4992,piazza dante/bolzano/lavi,151701
180,UTnf6,19750_20130402_UTnf6_8173,T17313,0,18.55.00,4992,piazza dante/bolzano/lavi,151701
180,UTnf6,19749_20130402_UTnf6_8173,T17312,0,17.55.00,4992,piazza dante/bolzano/lavi,151701
180,UTnf6,19741_20130402_UTnf6_8173,T17304,0,09.55.00,4992,piazza dante/bolzano/lavi,151701
180,UTnf6,23493_20130402_UTnf6_8172,T172v8,0,22.30.00,20404,linea 17 trasferimenti a,16170001
